date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:51	348460/348460	---M--	200	added ('OK')	image/jpeg	etag:%2257d95cc0dc9d3217f45ff25d14b46149%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc12785807a51678f1728f_Nirvana%209.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc12785807a51678f1728f_Nirvana%209.jpg	(from http://aarongrieve.co.uk/)
13:03:53	183331/183331	---M-Z	200	added ('OK')	text/javascript	etag:%22bb4151a605505285deb5eccac4fd108d%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/js/aaron-grieve.ab61e58bb.js	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/js/aaron-grieve.ab61e58bb.js	(from http://aarongrieve.co.uk/)
13:03:53	85589/85589	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Jan%202016%2021:20:41%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/My%20Web%20Sites/My%20portfolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://aarongrieve.co.uk/)
13:03:53	10720/10720	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Nov%202015%2012:43:02%20GMT	https://cdnjs.cloudflare.com/ajax/libs/smoothscroll/1.4.1/SmoothScroll.min.js	C:/My%20Web%20Sites/My%20portfolio/cdnjs.cloudflare.com/ajax/libs/smoothscroll/1.4.1/SmoothScroll.min.js	(from http://aarongrieve.co.uk/)
13:03:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:04:02%20GMT	http://aarongrieve.co.uk/about-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/about-aaron-grieve.html	(from http://aarongrieve.co.uk/)
13:03:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:04:02%20GMT	http://aarongrieve.co.uk/contact-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/contact-aaron-grieve.html	(from http://aarongrieve.co.uk/)
13:03:55	130561/130561	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Dec%202015%2009:30:54%20GMT	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.97.5/js/materialize.min.js	C:/My%20Web%20Sites/My%20portfolio/cdnjs.cloudflare.com/ajax/libs/materialize/0.97.5/js/materialize.min.js	(from http://aarongrieve.co.uk/)
13:03:55	0/-1	---M--	504	error ('')			http://aarongrieve.co.uk/portfolio	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/portfolio.html	(from http://aarongrieve.co.uk/)
13:03:55	0/-1	---M--	504	error ('')			http://aarongrieve.co.uk/portfolio	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/portfolio.html	(from http://aarongrieve.co.uk/)
13:03:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:04:02%20GMT	http://aarongrieve.co.uk/contact-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/contact-aaron-grieve.html	(from http://aarongrieve.co.uk/)
13:03:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:04:02%20GMT	http://aarongrieve.co.uk/about-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/about-aaron-grieve.html	(from http://aarongrieve.co.uk/)
